,processor_peak_power,core_area,core_subthreshold_leakage,core_gate_leakage,core_runtime_dynamic,L2_area,L2_subthreshold_leakage,L2_gate_leakage,L2_runtime_dynamic,Benchmark,Config
0,3.86567,7.22483,1.098,0.00726281,0.319239,7.0038,0.00472789,0.000571604,0.0156123,specbzip,1GHz
1,3.86567,7.22483,1.098,0.00726281,0.293342,7.0038,0.00472789,0.000571604,0.014338,specbzip,3GHz
2,9.22886,11.0402,1.18338,0.00728232,0.503763,38.4333,0.0163995,0.00351474,0.0755805,specbzip,Cacheline_128
3,1.56443,3.72356,0.6174,0.00318253,0.0669883,7.43189,0.00488826,0.000477109,0.00511244,specbzip,Cacheline_16
4,27.2066,26.8722,2.38722,0.0150925,0.963634,63.5151,0.0342731,0.0079159,0.234855,specbzip,Cacheline_256
5,2.22593,5.13381,0.793678,0.00471982,0.146285,6.37949,0.00445064,0.000433207,0.00735415,specbzip,Cacheline_32
6,10.2015,13.5223,1.31776,0.00809194,0.884239,38.4333,0.0163995,0.00351474,0.0543865,specbzip,cl_128_L1d_128kB
7,8.66801,9.69887,1.08309,0.00656314,0.299012,38.4333,0.0163995,0.00351474,0.0957118,specbzip,cl_128_L1d_32kB
8,9.12162,11.0702,1.17179,0.00717618,0.456461,38.4333,0.0163995,0.00351474,0.0939152,specbzip,cl_128_L1d_assoc_1
9,9.2739,10.9906,1.18301,0.00727913,0.522922,38.4333,0.0163995,0.00351474,0.0667932,specbzip,cl_128_L1d_assoc_4
10,9.24102,10.9317,1.17789,0.00728014,0.503748,38.4333,0.0163995,0.00351474,0.07559,specbzip,cl_128_L1i_16kB
11,9.91251,12.2597,1.28367,0.0080015,0.503841,38.4333,0.0163995,0.00351474,0.0755818,specbzip,cl_128_L1i_64kB
12,8.61201,9.80396,1.05873,0.00615084,0.503745,38.4333,0.0163995,0.00351474,0.0755892,specbzip,cl_128_L1i_assoc_1
13,9.93679,12.3288,1.26996,0.00797365,0.503794,38.4333,0.0163995,0.00351474,0.0755758,specbzip,cl_128_L1i_assoc_4
14,8.79613,11.0402,1.18338,0.00728232,0.49656,18.4409,0.00982759,0.00213695,0.0577161,specbzip,cl_128_L2_1MB
15,8.5607,11.0402,1.18338,0.00728232,0.50924,17.2367,0.011754,0.00179701,0.0512691,specbzip,cl_128_L2_4MB
16,8.30677,11.0402,1.18338,0.00728232,0.503613,9.55784,0.00636927,0.000960741,0.0400802,specbzip,cl_128_L2_assoc_16
17,9.22489,11.0402,1.18338,0.00728232,0.503924,38.5022,0.0163047,0.00350145,0.0752962,specbzip,cl_128_L2_assoc_4
18,28.9135,31.5755,2.62763,0.016631,1.65248,63.5151,0.0342731,0.0079159,0.169947,specbzip,cl_256_L1d_128kB
19,27.1833,26.7476,2.38038,0.0151099,0.952909,63.5151,0.0342731,0.0079159,0.293956,specbzip,cl_256_L1d_32kB
20,27.1092,26.9365,2.38747,0.0150925,0.908535,63.5151,0.0342731,0.0079159,0.291103,specbzip,cl_256_L1d_assoc_1
21,29.3357,32.4329,2.64543,0.0169011,1.81064,63.5151,0.0342731,0.0079159,0.212837,specbzip,cl_256_L1d_assoc_4
22,27.3978,27.1127,2.39875,0.0152076,0.963474,63.5151,0.0342731,0.0079159,0.234845,specbzip,cl_256_L1i_16kB
23,27.1344,26.9855,2.39407,0.0150751,0.963153,63.5151,0.0342731,0.0079159,0.234711,specbzip,cl_256_L1i_64kB
24,25.7949,24.3346,2.21481,0.0137089,0.963409,63.5151,0.0342731,0.0079159,0.234828,specbzip,cl_256_L1i_assoc_1
25,30.1346,32.5264,2.66855,0.0170367,0.963563,63.5151,0.0342731,0.0079159,0.23482,specbzip,cl_256_L1i_assoc_4
26,26.4747,26.8722,2.38722,0.0150925,0.949594,41.012,0.0246282,0.00569725,0.198603,specbzip,cl_256_L2_1MB
27,27.8819,26.8722,2.38722,0.0150925,0.971337,83.7665,0.0426703,0.00936352,0.273362,specbzip,cl_256_L2_4MB
28,48.7231,69.3741,4.20938,0.0261531,1.84337,83.6797,0.0428605,0.00939029,0.18114,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16
29,32.6443,37.14,2.92846,0.0186976,1.84344,83.6797,0.0428605,0.00939029,0.18116,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4
30,37.1858,46.1337,3.31797,0.0211603,1.84317,83.6797,0.0428605,0.00939029,0.181123,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8
31,41.2294,56.9064,3.71281,0.0237037,3.48776,83.6797,0.0428605,0.00939029,0.166079,specbzip,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8
32,27.2228,26.8722,2.38722,0.0150925,0.963376,63.4759,0.034368,0.00792922,0.236559,specbzip,cl_256_L2_assoc_16
33,27.2025,26.8722,2.38722,0.0150925,0.96408,63.5544,0.0342259,0.00790933,0.234681,specbzip,cl_256_L2_assoc_4
34,3.86567,7.22483,1.098,0.00726281,0.306127,7.0038,0.00472789,0.000571604,0.0149668,specbzip,default
35,4.36266,9.87973,1.38119,0.00969175,0.403955,7.0038,0.00472789,0.000571604,0.0111776,specbzip,L1d_128kB
36,5.36199,12.2715,1.78243,0.0133423,0.403966,7.0038,0.00472789,0.000571604,0.0111761,specbzip,L1d_128kB_L1i_64kB
37,5.25587,12.2715,1.78243,0.0133423,0.396518,4.1658,0.00278925,0.000397114,0.00804582,specbzip,L1d_128kB_L1i_64kB_L2_1MB
38,5.25771,12.2715,1.78243,0.0133423,0.396884,4.223,0.00292562,0.000418879,0.00816644,specbzip,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16
39,5.03794,13.3903,1.52885,0.010704,0.41483,4.223,0.00292562,0.000418879,0.00742081,specbzip,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4
40,5.4871,12.2715,1.78243,0.0133423,0.410482,13.3224,0.00910636,0.00110378,0.0151846,specbzip,L1d_128kB_L1i_64kB_L2_4MB
41,5.489,12.2715,1.78243,0.0133423,0.410587,13.1532,0.00921368,0.00112022,0.0153298,specbzip,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16
42,5.26923,13.3903,1.52885,0.010704,0.429241,13.1532,0.00921368,0.00112022,0.0139979,specbzip,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4
43,2.98366,4.59384,0.696764,0.0036123,0.0963954,7.0038,0.00472789,0.000571604,0.018739,specbzip,L1d_32kB
44,3.86087,7.18505,1.09577,0.00724961,0.29965,7.0038,0.00472789,0.000571604,0.0184782,specbzip,L1d_assoc_1
45,3.59803,6.08826,0.825522,0.0046475,0.307693,7.0038,0.00472789,0.000571604,0.0131916,specbzip,L1d_assoc_4
46,3.84194,6.38891,0.846024,0.00480872,0.389663,7.0038,0.00472789,0.000571604,0.0124498,specbzip,L1d_assoc_8
47,3.84674,7.17051,1.09074,0.00724313,0.306039,7.0038,0.00472789,0.000571604,0.0149649,specbzip,L1i_16kB
48,4.865,9.61665,1.49924,0.0109133,0.306089,7.0038,0.00472789,0.000571604,0.0149634,specbzip,L1i_64kB
49,3.83552,7.19162,1.09768,0.0072586,0.30607,7.0038,0.00472789,0.000571604,0.0149668,specbzip,L1i_assoc_1
50,4.2711,7.98819,1.17653,0.00798406,0.306096,7.0038,0.00472789,0.000571604,0.0149638,specbzip,L1i_assoc_4
51,4.62657,8.8343,1.2204,0.00831435,0.306073,7.0038,0.00472789,0.000571604,0.0149625,specbzip,L1i_assoc_8
52,3.75956,7.22483,1.098,0.00726281,0.300615,4.1658,0.00278925,0.000397114,0.0108282,specbzip,L2_1MB
53,3.99078,7.22483,1.098,0.00726281,0.310932,13.3224,0.00910636,0.00110378,0.0201726,specbzip,L2_4MB
54,3.86691,7.22483,1.098,0.00726281,0.30583,7.67752,0.00494005,0.000605182,0.0149961,specbzip,L2_assoc_16
55,3.86492,7.22483,1.098,0.00726281,0.304591,7.69091,0.00465773,0.000566123,0.0147025,specbzip,L2_assoc_2
56,3.87177,7.22483,1.098,0.00726281,0.305905,7.72645,0.00527753,0.000654024,0.0153744,specbzip,L2_assoc_32
57,3.86503,7.22483,1.098,0.00726281,0.306276,7.68591,0.0046776,0.000568258,0.0149099,specbzip,L2_assoc_4
58,3.88963,7.22483,1.098,0.00726281,0.305781,7.72423,0.00570646,0.000714457,0.0170324,specbzip,L2_assoc_64
59,3.86567,7.22483,1.098,0.00726281,0.379529,7.0038,0.00472789,0.000571604,0.00232476,spechmmer,1GHz
60,3.86567,7.22483,1.098,0.00726281,0.377851,7.0038,0.00472789,0.000571604,0.00231441,spechmmer,3GHz
61,9.22886,11.0402,1.18338,0.00728232,0.604939,38.4333,0.0163995,0.00351474,0.00626269,spechmmer,Cacheline_128
62,1.56443,3.72356,0.6174,0.00318253,0.114402,7.43189,0.00488826,0.000477109,0.00281186,spechmmer,Cacheline_16
63,27.2066,26.8722,2.38722,0.0150925,1.11913,63.5151,0.0342731,0.0079159,0.0115928,spechmmer,Cacheline_256
64,2.22593,5.13381,0.793678,0.00471982,0.206415,6.37949,0.00445064,0.000433207,0.00226498,spechmmer,Cacheline_32
65,10.2015,13.5223,1.31776,0.00809194,1.03368,38.4333,0.0163995,0.00351474,0.00278989,spechmmer,cl_128_L1d_128kB
66,8.66801,9.69887,1.08309,0.00656314,0.366949,38.4333,0.0163995,0.00351474,0.00963881,spechmmer,cl_128_L1d_32kB
67,9.12162,11.0702,1.17179,0.00717618,0.550236,38.4333,0.0163995,0.00351474,0.020834,spechmmer,cl_128_L1d_assoc_1
68,9.2739,10.9906,1.18301,0.00727913,0.617572,38.4333,0.0163995,0.00351474,0.00604571,spechmmer,cl_128_L1d_assoc_4
69,9.24102,10.9317,1.17789,0.00728014,0.604706,38.4333,0.0163995,0.00351474,0.00686382,spechmmer,cl_128_L1i_16kB
70,9.91251,12.2597,1.28367,0.0080015,0.605156,38.4333,0.0163995,0.00351474,0.00574929,spechmmer,cl_128_L1i_64kB
71,8.61201,9.80396,1.05873,0.00615084,0.567548,38.4333,0.0163995,0.00351474,0.0637645,spechmmer,cl_128_L1i_assoc_1
72,9.93679,12.3288,1.26996,0.00797365,0.605128,38.4333,0.0163995,0.00351474,0.00602705,spechmmer,cl_128_L1i_assoc_4
73,8.79613,11.0402,1.18338,0.00728232,0.604939,18.4409,0.00982759,0.00213695,0.00487465,spechmmer,cl_128_L2_1MB
74,8.5607,11.0402,1.18338,0.00728232,0.604939,17.2367,0.011754,0.00179701,0.00401816,spechmmer,cl_128_L2_4MB
75,8.30677,11.0402,1.18338,0.00728232,0.604939,9.55784,0.00636927,0.000960741,0.00321098,spechmmer,cl_128_L2_assoc_16
76,9.22489,11.0402,1.18338,0.00728232,0.604939,38.5022,0.0163047,0.00350145,0.00623132,spechmmer,cl_128_L2_assoc_4
77,28.9135,31.5755,2.62763,0.016631,1.90559,63.5151,0.0342731,0.0079159,0.00577189,spechmmer,cl_256_L1d_128kB
78,27.1833,26.7476,2.38038,0.0151099,1.13135,63.5151,0.0342731,0.0079159,0.0191102,spechmmer,cl_256_L1d_32kB
79,27.1092,26.9365,2.38747,0.0150925,1.04792,63.5151,0.0342731,0.0079159,0.075134,spechmmer,cl_256_L1d_assoc_1
80,29.3357,32.4329,2.64543,0.0169011,2.10052,63.5151,0.0342731,0.0079159,0.0102424,spechmmer,cl_256_L1d_assoc_4
81,27.3978,27.1127,2.39875,0.0152076,1.11875,63.5151,0.0342731,0.0079159,0.0128368,spechmmer,cl_256_L1i_16kB
82,27.1344,26.9855,2.39407,0.0150751,1.11943,63.5151,0.0342731,0.0079159,0.00981501,spechmmer,cl_256_L1i_64kB
83,25.7949,24.3346,2.21481,0.0137089,1.05516,63.5151,0.0342731,0.0079159,0.129029,spechmmer,cl_256_L1i_assoc_1
84,30.1346,32.5264,2.66855,0.0170367,1.11945,63.5151,0.0342731,0.0079159,0.0105508,spechmmer,cl_256_L1i_assoc_4
85,26.4747,26.8722,2.38722,0.0150925,1.11913,41.012,0.0246282,0.00569725,0.00993689,spechmmer,cl_256_L2_1MB
86,27.8819,26.8722,2.38722,0.0150925,1.11913,83.7665,0.0426703,0.00936352,0.0132461,spechmmer,cl_256_L2_4MB
87,48.7231,69.3741,4.20938,0.0261531,2.07131,83.6797,0.0428605,0.00939029,0.00385997,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16
88,32.6443,37.14,2.92846,0.0186976,2.07111,83.6797,0.0428605,0.00939029,0.00389151,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4
89,37.1858,46.1337,3.31797,0.0211603,2.07124,83.6797,0.0428605,0.00939029,0.00386433,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8
90,41.2294,56.9064,3.71281,0.0237037,3.89309,83.6797,0.0428605,0.00939029,0.00298948,spechmmer,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8
91,27.2228,26.8722,2.38722,0.0150925,1.11913,63.4759,0.034368,0.00792922,0.0116794,spechmmer,cl_256_L2_assoc_16
92,27.2025,26.8722,2.38722,0.0150925,1.11913,63.5544,0.0342259,0.00790933,0.0115714,spechmmer,cl_256_L2_assoc_4
93,3.86567,7.22483,1.098,0.00726281,0.378698,7.0038,0.00472789,0.000571604,0.00231964,spechmmer,default
94,4.36266,9.87973,1.38119,0.00969175,0.485963,7.0038,0.00472789,0.000571604,0.00089853,spechmmer,L1d_128kB
95,5.36199,12.2715,1.78243,0.0133423,0.486158,7.0038,0.00472789,0.000571604,0.000844042,spechmmer,L1d_128kB_L1i_64kB
96,5.25587,12.2715,1.78243,0.0133423,0.486158,4.1658,0.00278925,0.000397114,0.000630397,spechmmer,L1d_128kB_L1i_64kB_L2_1MB
97,5.25771,12.2715,1.78243,0.0133423,0.486158,4.223,0.00292562,0.000418879,0.00063773,spechmmer,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16
98,5.03794,13.3903,1.52885,0.010704,0.505588,4.223,0.00292562,0.000418879,0.000589616,spechmmer,L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4
99,5.4871,12.2715,1.78243,0.0133423,0.486158,13.3224,0.00910636,0.00110378,0.00108986,spechmmer,L1d_128kB_L1i_64kB_L2_4MB
100,5.489,12.2715,1.78243,0.0133423,0.486158,13.1532,0.00921368,0.00112022,0.00109938,spechmmer,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16
101,5.26923,13.3903,1.52885,0.010704,0.505588,13.1532,0.00921368,0.00112022,0.00101646,spechmmer,L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4
102,2.98366,4.59384,0.696764,0.0036123,0.132076,7.0038,0.00472789,0.000571604,0.00340579,spechmmer,L1d_32kB
103,3.86087,7.18505,1.09577,0.00724961,0.370122,7.0038,0.00472789,0.000571604,0.00479404,spechmmer,L1d_assoc_1
104,3.59803,6.08826,0.825522,0.0046475,0.373983,7.0038,0.00472789,0.000571604,0.00223786,spechmmer,L1d_assoc_4
105,3.84194,6.38891,0.846024,0.00480872,0.455551,7.0038,0.00472789,0.000571604,0.00230336,spechmmer,L1d_assoc_8
106,3.84674,7.17051,1.09074,0.00724313,0.378496,7.0038,0.00472789,0.000571604,0.00246614,spechmmer,L1i_16kB
107,4.865,9.61665,1.49924,0.0109133,0.37877,7.0038,0.00472789,0.000571604,0.00226079,spechmmer,L1i_64kB
108,3.83552,7.19162,1.09768,0.0072586,0.344127,7.0038,0.00472789,0.000571604,0.0142233,spechmmer,L1i_assoc_1
109,4.2711,7.98819,1.17653,0.00798406,0.378751,7.0038,0.00472789,0.000571604,0.00228691,spechmmer,L1i_assoc_4
110,4.62657,8.8343,1.2204,0.00831435,0.378767,7.0038,0.00472789,0.000571604,0.00226618,spechmmer,L1i_assoc_8
111,3.75956,7.22483,1.098,0.00726281,0.378698,4.1658,0.00278925,0.000397114,0.00172485,spechmmer,L2_1MB
112,3.99078,7.22483,1.098,0.00726281,0.378682,13.3224,0.00910636,0.00110378,0.0030039,spechmmer,L2_4MB
113,3.86691,7.22483,1.098,0.00726281,0.378698,7.67752,0.00494005,0.000605182,0.00233001,spechmmer,L2_assoc_16
114,3.86492,7.22483,1.098,0.00726281,0.378698,7.69091,0.00465773,0.000566123,0.00230283,spechmmer,L2_assoc_2
115,3.87177,7.22483,1.098,0.00726281,0.37869,7.72645,0.00527753,0.000654024,0.00238511,spechmmer,L2_assoc_32
116,3.86503,7.22483,1.098,0.00726281,0.378698,7.68591,0.0046776,0.000568258,0.00230539,spechmmer,L2_assoc_4
117,3.88963,7.22483,1.098,0.00726281,0.37869,7.72423,0.00570646,0.000714457,0.00262819,spechmmer,L2_assoc_64
118,3.86567,7.22483,1.098,0.00726281,0.201447,7.0038,0.00472789,0.000571604,0.0161492,speclibm,1GHz
119,3.86567,7.22483,1.098,0.00726281,0.120174,7.0038,0.00472789,0.000571604,0.00963385,speclibm,3GHz
120,9.22886,11.0402,1.18338,0.00728232,0.326844,38.4333,0.0163995,0.00351474,0.0368559,speclibm,Cacheline_128
121,1.56443,3.72356,0.6174,0.00318253,0.0157806,7.43189,0.00488826,0.000477109,0.00590411,speclibm,Cacheline_16
122,27.2066,26.8722,2.38722,0.0150925,0.792417,63.5151,0.0342731,0.0079159,0.0683118,speclibm,Cacheline_256
123,2.22593,5.13381,0.793678,0.00471982,0.0518124,6.37949,0.00445064,0.000433207,0.00761172,speclibm,Cacheline_32
124,10.2015,13.5223,1.31776,0.00809194,0.555511,38.4333,0.0163995,0.00351474,0.0368306,speclibm,cl_128_L1d_128kB
125,8.66801,9.69887,1.08309,0.00656314,0.202346,38.4333,0.0163995,0.00351474,0.0368688,speclibm,cl_128_L1d_32kB
126,9.12162,11.0702,1.17179,0.00717618,0.300153,38.4333,0.0163995,0.00351474,0.039386,speclibm,cl_128_L1d_assoc_1
127,9.2739,10.9906,1.18301,0.00727913,0.338041,38.4333,0.0163995,0.00351474,0.0368559,speclibm,cl_128_L1d_assoc_4
128,9.24102,10.9317,1.17789,0.00728014,0.326843,38.4333,0.0163995,0.00351474,0.0368654,speclibm,cl_128_L1i_16kB
129,9.91251,12.2597,1.28367,0.0080015,0.326849,38.4333,0.0163995,0.00351474,0.0368489,speclibm,cl_128_L1i_64kB
130,8.61201,9.80396,1.05873,0.00615084,0.326841,38.4333,0.0163995,0.00351474,0.0368648,speclibm,cl_128_L1i_assoc_1
131,9.93679,12.3288,1.26996,0.00797365,0.326846,38.4333,0.0163995,0.00351474,0.0368514,speclibm,cl_128_L1i_assoc_4
132,8.79613,11.0402,1.18338,0.00728232,0.326552,18.4409,0.00982759,0.00213695,0.0304593,speclibm,cl_128_L2_1MB
133,8.5607,11.0402,1.18338,0.00728232,0.327431,17.2367,0.011754,0.00179701,0.0255992,speclibm,cl_128_L2_4MB
134,8.30677,11.0402,1.18338,0.00728232,0.326844,9.55784,0.00636927,0.000960741,0.021891,speclibm,cl_128_L2_assoc_16
135,9.22489,11.0402,1.18338,0.00728232,0.326844,38.5022,0.0163047,0.00350145,0.0365611,speclibm,cl_128_L2_assoc_4
136,28.9135,31.5755,2.62763,0.016631,1.30613,63.5151,0.0342731,0.0079159,0.0682635,speclibm,cl_256_L1d_128kB
137,27.1833,26.7476,2.38038,0.0151099,0.790878,63.5151,0.0342731,0.0079159,0.0683381,speclibm,cl_256_L1d_32kB
138,27.1092,26.9365,2.38747,0.0150925,0.750379,63.5151,0.0342731,0.0079159,0.0867614,speclibm,cl_256_L1d_assoc_1
139,29.3357,32.4329,2.64543,0.0169011,1.44775,63.5151,0.0342731,0.0079159,0.0683104,speclibm,cl_256_L1d_assoc_4
140,27.3978,27.1127,2.39875,0.0152076,0.792423,63.5151,0.0342731,0.0079159,0.0683373,speclibm,cl_256_L1i_16kB
141,27.1344,26.9855,2.39407,0.0150751,0.792428,63.5151,0.0342731,0.0079159,0.0682847,speclibm,cl_256_L1i_64kB
142,25.7949,24.3346,2.21481,0.0137089,0.792378,63.5151,0.0342731,0.0079159,0.06835,speclibm,cl_256_L1i_assoc_1
143,30.1346,32.5264,2.66855,0.0170367,0.792419,63.5151,0.0342731,0.0079159,0.0683003,speclibm,cl_256_L1i_assoc_4
144,26.4747,26.8722,2.38722,0.0150925,0.792172,41.012,0.0246282,0.00569725,0.0615042,speclibm,cl_256_L2_1MB
145,27.8819,26.8722,2.38722,0.0150925,0.792952,83.7665,0.0426703,0.00936352,0.0766257,speclibm,cl_256_L2_4MB
146,48.7231,69.3741,4.20938,0.0261531,1.45048,83.6797,0.0428605,0.00939029,0.0773146,speclibm,cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16
